% Project data log with Unity & Haptic device
% Unity Version :2019.4.32f1
% Windows Version : 10.0.19044.0
% Haptic Plugin Version : PluginVersion=0.9, PluginBuild=Sep 24 2018, OpenHapticsVersion=3.50.0
% Generated By : Datalogger.cs 
% 4/14/2024 8:54:16 PM
% 
% Format Description : 
%   CurrTime    PointerPosX    PointerPosY    PointerPosZ    PointerRotX    PointerRotY    PointerRotZ    PointerRotW       ConePosX       ConePosY       ConePosZ        Started   PathFinished         AllEnd       DistTrav
    1.190000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.213000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.214000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.238000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.268000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.290000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.314000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.314000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.335000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.360000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.381000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
    1.404000       0.000000      -6.556317       8.809975       0.936597      -0.278816      -0.061395      -0.203173      -3.600000       0.000000       0.000000              0              0              0       0.000000
